disk_id,ds,model,S1,S5,S9,S12,S170,S171,S172,S173,S174,S180,S183,S184,S187,S188,S194,S195,S196,S197,S198,S199,fault
1153,20180103,MA1,0.09999999997904524,0.0,0.5493066255778121,0.0,0.0,0.0,0.0,0.0,0.0,0.016146493590225564,0.0,0.0,0.0,0.0,0.24074074074074073,0.0,0.0,0.0,0.0,0.0,0
124300,20180103,MC1,0.0,0.0,0.014216009978721843,0.0008616837939618307,0.0,0.0,0.0,0.0005209690023443605,0.00457121960138965,5.023684210526316e-08,0.0,0.0,0.0,2.2377974541216137e-08,0.48148148148148145,0.0,0.0,0.0,0.0,0.0,0
113017,20180103,MC1,0.0,0.0,0.11059138601511483,0.0007659411501882939,0.0,0.0,0.0,0.014587132065642095,0.002194185408667032,5.023684210526316e-08,0.0,0.0,0.0,2.3776597950042145e-08,0.38888888888888884,0.0,0.0,0.0,0.0,0.0,0
169475,20180103,MC1,0.0,0.0,0.018801819649277275,0.0006063700772323994,0.0,0.0,0.0,0.0018233915082052619,0.003108429328944962,5.023684210526316e-08,0.0,0.0,0.0,2.2377974541216137e-08,0.38888888888888884,0.0,0.0,0.0,0.0,0.0,0
196127,20180103,MC1,0.0,0.0,0.0776469293418446,0.0006382842918235782,0.0,0.0,0.0,0.0018233915082052619,0.002194185408667032,5.023684210526316e-08,0.0,0.0,0.0,1.8601691337385913e-07,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0
21069,20180103,MA1,0.09999999997904524,0.0,0.5340083645168391,0.0,0.0,0.0,0.0,0.0,0.0,0.016146493590225564,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0
119806,20180103,MA2,0.0,0.0,0.3734866828087167,0.0008297695793706517,0.0,0.0,0.0,0.0,0.0018284878405558603,0.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0
37942,20180103,MB2,0.0,0.0,0.21676205150781422,0.0004787132188676837,0.0,0.0,0.0,0.0,0.0,5.747744360902256e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
186875,20180103,MC1,0.0,0.0,0.11130677232372148,0.0007021127210059361,0.0,0.0,0.0,0.004688721021099245,0.0038398244651673065,5.023684210526316e-08,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0
27467,20180104,MC1,0.0,0.0,0.00645682001614205,0.0005425416480500415,0.0,0.0,0.0,0.0007814535035165408,0.0029255805448893763,5.023684210526316e-08,0.0,0.0,0.0,1.818210431473811e-08,0.42592592592592593,0.0,0.0,0.0,0.0,0.0,0
106429,20180104,MA2,0.0,0.0,0.4261317778266931,0.001053169081508904,0.0,0.0,0.0,0.0,0.005668312305723166,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,9.858895409358336e-06,0
8784,20180104,MB1,0.0,0.0,0.07372147626384914,0.00038297057509414695,0.0,0.0,0.0,0.0,0.0,2.431203007518797e-08,0.0,0.0,0.0,0.0,0.5740740740740741,0.0,0.0,0.0,0.0,0.0,0
36952,20180104,MA2,0.0,0.0,0.37442218798151,0.0005744558626412204,0.0,0.0,0.0,0.0,0.0029255805448893763,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0
18479,20180104,MC1,0.0,0.0,0.07054809597182479,0.0004787132188676837,0.0,0.0,0.0,0.0015629070070330817,0.0018284878405558603,5.023684210526316e-08,0.0,0.0,0.0,5.7343559761866354e-08,0.6481481481481481,0.0,0.0,0.0,0.0,0.0,0
93015,20180104,MA2,0.0,0.0,0.5556533861618608,0.0003191421459117891,0.0,0.0,0.0,0.0,0.0009142439202779302,0.0,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0
36467,20180104,MC1,0.0,0.0,0.09120258272800645,0.000734026935597115,0.0,0.0,0.0,0.00026048450117218026,0.0038398244651673065,5.023684210526316e-08,0.0,0.0,0.0,9.790363861782061e-09,0.35185185185185186,0.0,0.0,0.0,0.0,0.0,0
16664,20180104,MB1,0.0,0.0,0.0779037346833957,0.0005744558626412204,0.0,0.0,0.0,0.0,0.0,2.4545112781954888e-08,0.0,0.0,0.0,0.0,0.5740740740740741,0.0,0.0,0.0,0.0,0.0,0
69215,20180104,MC1,0.0,0.0,0.1357399662484408,0.0006701985064147571,0.0,0.0,0.0,0.02995571763480073,0.003108429328944962,5.023308270676692e-08,0.0,0.0,0.0,5.7343559761866354e-08,0.35185185185185186,0.0,0.0,0.0,0.0,0.0,0
21150,20180105,MC1,0.0,0.0,0.028542079389537015,0.0006063700772323994,0.0,0.0,0.0,0.004949205522271425,0.003108429328944962,5.023684210526316e-08,0.0,0.0,0.0,5.594493635304034e-09,0.42592592592592593,0.0,0.0,0.0,0.0,0.0,0
41994,20180105,MA2,0.0,0.0,0.4479052021424903,0.00044679900427650477,0.0,0.0,0.0,0.0,0.0009142439202779302,0.0,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0
108011,20180105,MA2,0.0,0.0,0.2766527258052682,0.00038297057509414695,0.0,0.0,0.0,0.0,0.0014627902724446882,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0
48852,20180105,MB2,0.0,0.0,0.20896617506787,0.0008935980085530095,0.0,0.0,0.0,0.0,0.0,5.7552631578947374e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66077,20180105,MA2,0.0,0.0,0.3728996991708856,0.0005106274334588626,0.0,0.0,0.0,0.0,0.0023770341927226183,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.0,0.0,0.0,0.0,1.665813362270891e-05,0
35768,20180105,MA2,0.0,0.0,0.37546775258639664,0.0020744239484266295,0.0,0.0,0.0,0.0,0.01151947339550192,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.0,0.0,0.0,0.0,9.246963970156784e-05,0
18333,20180105,MA1,0.09999999997904524,0.0,0.5879925159586177,0.003542477819620859,0.0,0.0,0.0,0.0,0.019930517462058876,0.016146493590225564,0.0,0.0,0.0,0.0,0.25925925925925924,0.19792723066030043,0.0,0.0,0.0,0.0,0
37846,20180105,MB1,0.0,0.0,0.02986279257465698,0.00044679900427650477,0.0,0.0,0.0,0.0,0.0,2.4233082706766917e-08,0.0,0.0,0.0,0.0,0.5740740740740741,0.0,0.0,0.0,0.0,0.0,0
170298,20180105,MC1,0.0,0.0,0.037713698730647886,0.0006382842918235782,0.0,0.0,0.0,0.0026048450117218025,0.0029255805448893763,5.023684210526316e-08,0.0,0.0,0.0,2.797246817652017e-08,0.4629629629629629,0.0,0.0,0.0,0.0,0.0,0
