1 59.9132 60 0.144693
1 31801.3 31333 -1.49473
1 473.555 1295 63.4321
2 56.3962 55 -2.53857
2 30174.2 30441 0.876557
2 1459.67 1817 19.6658
3 57.1432 51 -12.0455
3 30574.8 26675 -14.6198
3 7.78454 0.1 -7684.54
4 62.6164 62 -0.994262
4 33096.9 30973 -6.85719
4 985.73 1394 29.2877
5 52.9283 51 -3.781
5 28192.7 27583 -2.21026
5 144.036 1673 91.3905
6 65.0922 44 -47.9369
6 34557.4 21878 -57.9551
6 718.859 887 18.9562
7 36.3847 42 13.3697
7 18599.1 21629 14.0085
7 910.097 319 -185.297
8 63.1128 60 -5.18803
8 33295 29847 -11.5522
8 598.159 1643 63.5935
9 57.5787 53 -8.639
9 30619.3 27443 -11.5742
9 372.633 1540 75.8031
10 54.9199 46 -19.3911
10 29403.9 21629 -35.9469
10 1522.46 1702 10.5486
11 49.9421 40 -24.8552
11 26602.5 23820 -11.6814
11 644.176 1072 39.9089
12 63.8672 58 -10.1159
12 33645.4 31462 -6.93977
12 818.494 1370 40.2559
13 57.7232 61 5.37183
13 30499.5 3012 -912.599
13 215.01 1630 86.8092
14 57.4402 60 4.26633
14 30629.5 32749 6.47194
14 1424.85 1253 -13.7154
15 64.1842 46 -39.5309
15 34374.1 27206 -26.3474
15 509.929 648 21.3072
16 63.4846 74 14.21
16 33462.5 37553 10.8927
16 695.927 1326 47.5169
17 51.9176 49 -5.95433
17 27900.2 25864 -7.8729
17 711.219 1280 44.4361
18 56.3312 60 6.1147
18 30137.5 31524 4.39817
18 1464.63 1705 14.0978
19 59.2272 42 -41.0171
19 31453.8 23131 -35.9812
19 443.828 1020 56.4874
20 65.3481 72 9.23871
20 34623.9 36797 5.90553
20 645.732 2124 69.5983
21 53.5564 45 -19.0142
21 28751 25610 -12.2648
21 568.803 1291 55.9409
22 75.6518 61 -24.0194
22 40950.9 31954 -28.1557
22 169.503 1750 90.3141
23 57.0373 44 -29.6301
23 30385.8 23967 -26.7819
23 369.217 1137 67.5271
24 61.6673 54 -14.1987
24 32773.2 28954 -13.1906
24 635.282 752 15.521
25 55.2627 45 -22.8061
25 29615.9 23149 -27.9359
25 398.913 409 2.46619
26 62.3978 72 13.3363
26 33353 37499 11.0563
26 335.153 0.1 -335053
27 36.0849 27 -33.6478
27 18398.5 14165 -29.8871
27 892.6 806 -10.7444
28 63.1357 58 -8.85468
28 33285.2 30180 -10.289
28 703.818 1313 46.3962
29 37.7496 30 -25.832
29 19537.3 15176 -28.7379
29 976.024 1240 21.2884
30 67.6002 61 -10.82
30 36007.9 32544 -10.6439
30 417.335 0.1 -417235
31 59.2723 52 -13.9852
31 31549.7 26092 -20.9171
31 228.046 570 59.992
32 64.957 52 -24.9172
32 34409.8 30316 -13.5037
32 558.801 0.1 -558701
33 52.2044 43 -21.4057
33 27464 20296 -35.3171
33 176.948 0.1 -176848
34 74.8485 60 -24.7475
34 40156.2 32260 -24.4766
34 364.782 0.1 -364682
35 59.9811 52 -15.3484
35 31635.7 26603 -18.9178
35 286.262 0.1 -286162
36 75.2305 57 -31.9834
36 40096.8 28717 -39.6274
36 655.768 0.1 -655668
37 59.988 55 -9.06902
37 31956.7 28405 -12.5036
37 280.29 0.1 -280190
38 75.2249 70 -7.46413
38 39847.1 38230 -4.22998
